date,sector,index_price,fund_nav,valuation_percentile,attention_rank_pct,fund_start_date,valuation_metric
2020-01-09,消费,16531.541,2.06,50.0,50.0,2015-03-24,PRICE_PERCENTILE
2020-01-09,科技,1913.142,1.9651,50.0,50.0,2011-09-20,PRICE_PERCENTILE
2020-01-10,医药,10308.079,1.1066,50.0,50.0,2019-03-26,PRICE_PERCENTILE
2020-01-10,沪深300,4163.185,1.39,50.0,50.0,2009-07-10,PRICE_PERCENTILE
2020-01-10,消费,16542.902,2.0613,50.0,50.0,2015-03-24,PRICE_PERCENTILE
2020-01-10,科技,1904.194,1.9566,50.0,50.0,2011-09-20,PRICE_PERCENTILE
2020-01-13,医药,10385.47,1.1143,50.0,50.0,2019-03-26,PRICE_PERCENTILE
2020-01-13,沪深300,4203.988,1.402,50.0,50.0,2009-07-10,PRICE_PERCENTILE
2020-01-13,消费,16791.479,2.0907,50.0,50.0,2015-03-24,PRICE_PERCENTILE
2020-01-13,科技,1935.072,1.9862,50.0,50.0,2011-09-20,PRICE_PERCENTILE
2020-01-14,医药,10311.416,1.1066,50.0,50.0,2019-03-26,PRICE_PERCENTILE
2020-01-14,沪深300,4189.886,1.398,50.0,50.0,2009-07-10,PRICE_PERCENTILE
2020-01-14,消费,16636.383,2.0723,50.0,50.0,2015-03-24,PRICE_PERCENTILE
2020-01-14,科技,1922.557,1.9741,50.0,50.0,2011-09-20,PRICE_PERCENTILE
2020-01-15,医药,10350.567,1.1106,50.0,50.0,2019-03-26,PRICE_PERCENTILE
2020-01-15,沪深300,4166.734,1.391,50.0,50.0,2009-07-10,PRICE_PERCENTILE
2020-01-15,消费,16661.344,2.0753,50.0,50.0,2015-03-24,PRICE_PERCENTILE
2020-01-15,科技,1924.238,1.9758,50.0,50.0,2011-09-20,PRICE_PERCENTILE
2020-01-16,医药,10370.078,1.1125,50.0,50.0,2019-03-26,PRICE_PERCENTILE
2020-01-16,沪深300,4149.043,1.385,50.0,50.0,2009-07-10,PRICE_PERCENTILE
2020-01-16,消费,16685.294,2.0781,50.0,50.0,2015-03-24,PRICE_PERCENTILE
2020-01-16,科技,1929.961,1.9813,50.0,50.0,2011-09-20,PRICE_PERCENTILE
2020-01-17,医药,10453.154,1.1209,50.0,50.0,2019-03-26,PRICE_PERCENTILE
2020-01-17,沪深300,4154.853,1.387,50.0,50.0,2009-07-10,PRICE_PERCENTILE
2020-01-17,消费,16561.868,2.0635,50.0,50.0,2015-03-24,PRICE_PERCENTILE
2020-01-17,科技,1932.511,1.9837,50.0,50.0,2011-09-20,PRICE_PERCENTILE
2020-01-20,医药,10604.045,1.1362,50.0,50.0,2019-03-26,PRICE_PERCENTILE
2020-01-20,沪深300,4185.83,1.397,50.0,50.0,2009-07-10,PRICE_PERCENTILE
2020-01-20,消费,16526.973,2.0593,50.0,50.0,2015-03-24,PRICE_PERCENTILE
2020-01-20,科技,1982.176,2.0315,50.0,50.0,2011-09-20,PRICE_PERCENTILE
2020-01-21,医药,10773.625,1.1533,50.0,50.0,2019-03-26,PRICE_PERCENTILE
2020-01-21,沪深300,4114.309,1.374,50.0,50.0,2009-07-10,PRICE_PERCENTILE
2020-01-21,消费,16164.801,2.0169,50.0,50.0,2015-03-24,PRICE_PERCENTILE
2020-01-21,科技,1967.027,2.0167,50.0,50.0,2011-09-20,PRICE_PERCENTILE
2020-01-22,医药,10638.192,1.1395,50.0,50.0,2019-03-26,PRICE_PERCENTILE
2020-01-22,沪深300,4131.931,1.38,50.0,50.0,2009-07-10,PRICE_PERCENTILE
2020-01-22,消费,16101.558,2.0096,50.0,50.0,2015-03-24,PRICE_PERCENTILE
2020-01-22,科技,1993.899,2.0425,50.0,50.0,2011-09-20,PRICE_PERCENTILE
2020-01-23,医药,10422.039,1.118,50.0,50.0,2019-03-26,PRICE_PERCENTILE
2020-01-23,沪深300,4003.901,1.339,50.0,50.0,2009-07-10,PRICE_PERCENTILE
2020-01-23,消费,15440.829,1.9329,50.0,50.0,2015-03-24,PRICE_PERCENTILE
2020-01-23,科技,1927.742,1.9786,50.0,50.0,2011-09-20,PRICE_PERCENTILE
2020-02-03,医药,9979.538,1.0739,50.0,50.0,2019-03-26,PRICE_PERCENTILE
